OperationName,File,Category,WASM_Priority,WASM_Rationale
a,AffineCipherDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
SwapCase,SwapCase.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
SymmetricDifference,SymmetricDifference.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
TakeNthBytes,TakeNthBytes.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
TCPIPChecksum,TCPIPChecksum.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Template,Template.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
TextEncodingBruteForce,TextEncodingBruteForce.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Time (ms),Sleep.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ToBase32,ToBase32.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ToBase45,ToBase45.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ToBase62,ToBase62.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ToBase64,ToBase64.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ToBase85,ToBase85.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ToBase92,ToBase92.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ToBraille,ToBraille.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ToCaseInsensitiveRegex,ToCaseInsensitiveRegex.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ToHex,ToHex.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ToLowerCase,ToLowerCase.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ToMessagePack,ToMessagePack.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ToModhex,ToModhex.mjs,crypto/hash,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ToQuotedPrintable,ToQuotedPrintable.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Treat \,URLDecode.mjs,parsing/format,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Typex,Typex.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
UnescapeString,UnescapeString.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
UnicodeTextFormat,UnicodeTextFormat.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Unique,Unique.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Units,FromUNIXTimestamp.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Units,ToUNIXTimestamp.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Untar,Untar.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
Unzip,Unzip.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
VarIntDecode,VarIntDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
VarIntEncode,VarIntEncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ViewBitPlane,ViewBitPlane.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Visualisation,Entropy.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Whirlpool,Whirlpool.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
Width,ToHexdump.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
XKCDRandomNumber,XKCDRandomNumber.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
XORChecksum,XORChecksum.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
XPath,XPathExpression.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
YAMLToJSON,YAMLToJSON.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
YARARules,YARARules.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Zip,Zip.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
ZlibDeflate,ZlibDeflate.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
ZlibInflate,ZlibInflate.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
